store,country,lang,reviewId,date,userName,rating,appVersion,thumbsUp,title,text,replyDate,replyText,url
App Store,sg,,12123206419,2024-12-30T11:47:08Z,zazeek9888,1,,0,Its overall great but it gives you unnecessary anxiety sometimes..,I love opening the app daily to read about my baby’s progress. However the size chart of items comparison are always not of the same size like for example a hamster is not the same size as a can opener? Also it gives me unnecessary anxiety wheb they send notifications like YOUR BABY IS IN DANGER WHEN YOU…. Like wtf. Pregnancy is alrdy hard as it is you’re just adding extra anxiety.,,"Hi there, thank you for your honest feedback and for sharing that you still enjoy checking in daily to follow your baby’s progress 💛

We completely understand your point about the size comparisons — they’re meant to be fun and relatable, but we can see how inconsistent comparisons can end up feeling confusing instead.

We’re also really sorry that some of the notifications caused unnecessary anxiety. Pregnancy is already emotionally and physically demanding, and we understand that overly alarming wording can feel more stressful than helpful. The intention is to raise awareness around certain topics, but your feedback makes it clear that the tone and delivery need to be more supportive and reassuring.

We truly appreciate you calling this out, and we’ll be sharing your feedback with our product and content teams as we continue improving the app experience for parents.",https://apps.apple.com/sg/app/id1042523855?see-all=reviews
App Store,sg,,11944030614,2024-11-13T05:02:59Z,Zzzzzxxsh,1,,0,Do not honor the giveaway even though we are eligible.,Do not honor the giveaway even though we are eligible.,,"Hi there, we’re sorry to hear about your experience and understand how disappointing this must have felt.

Please note that giveaway eligibility and winner selection are subject to the campaign’s terms and verification process. However, we’d still like to look into your case further. Kindly reach out to us at with the giveaway details and your registered account information so our team can review this properly.

Thank you for bringing this to our attention.",https://apps.apple.com/sg/app/id1042523855?see-all=reviews
App Store,sg,,11450015737,2024-07-02T23:52:17Z,Bit110,1,,0,Notifications very clickbait,Their in-app notifications are quite click-bait. Almost every one of them is. The whole app is also filled with ads. And it’s not very user friendly. Abit laggy. But there are some nice articles to read (take with a pinch of salt) as their information is like Wikipedia.,,"Dear Bit110,

Thank you for your feedback. We're sorry to hear about your experience. Our main concern is providing a valuable and user-friendly experience for all our users. We're constantly working to improve our app. We're glad you enjoyed our articles and will strive to improve our content quality. Your comments on ads and app performance are noted.

Thanks again for your insights and for being a valuable part of our community!

Best regards,
theAsianparent Singapore",https://apps.apple.com/sg/app/id1042523855?see-all=reviews
App Store,sg,,10952712088,2024-02-18T14:23:35Z,KLin T.,1,,0,Pls fix the bug!,"App keeps hanging, tracker records disappear after few months",,"Hi Parent. Sorry for the trouble you have experienced. Please send an email with your feedback and account details to app.feedback@theasianparent.com, so that we can help to resolve the issue without delay. Thank you! 😊 Do encourage us further with a 5-star rating!",https://apps.apple.com/sg/app/id1042523855?see-all=reviews
App Store,sg,,9340892238,2022-11-29T08:10:28Z,GS8595,1,,0,Was all great until latest update,"Update already cannot manual key in the milk intake .. have to record first then edit 👎🏻
So troublesome",,Thank you for using our pregnancy & baby tracker app and for sending feedback and suggestions. We are sorry for the inconvenience.  We have conveyed this to the related team. Thank you! 😊,https://apps.apple.com/sg/app/id1042523855?see-all=reviews
App Store,sg,,9136595766,2022-09-30T14:01:28Z,christiekua,1,,0,On iPhone 12 can’t click next,I can’t click next after selecting due date! Design of app doesn’t seem to fit iPhone!,,"Hi Parent. Sorry for the trouble you have experienced. Please send an email with your feedback and account details to app.feedback@theasianparent.com, so that we can help to resolve the issue without delay. Thank you! 😊 Do encourage us further with a 5-star rating!",https://apps.apple.com/sg/app/id1042523855?see-all=reviews
App Store,sg,,8769422192,2022-06-13T10:06:37Z,GTLL7,1,,0,Non-stop notifications even after turning off!!,Only downloaded for the baby daily update notification but it keeps bombarding my phone with articles and ads despite trying to turn it off multiple times!!,,"Hi Parent. Sorry for the trouble you have experienced. Please send an email with your feedback and account details to app.feedback@theasianparent.com, so that we can help to resolve the issue without delay. Thank you! 😊 Do encourage us further with a 5-star rating!",https://apps.apple.com/sg/app/id1042523855?see-all=reviews
App Store,sg,,8555825360,2022-04-11T12:50:00Z,hito_iro,1,,0,What the hell!,"It's impossible to even register. The ""Next"" button is not accessible at all!",,"Hi, Parent. We apologize for the inconvenience. Our team has now fixed the issue. Please clear your cache and try once again. If you still experience the same problem after clearing the cache, do email us at app.feedback@theasianparent.com. Thank you and please encourage us with a 5★ rating! 😊",https://apps.apple.com/sg/app/id1042523855?see-all=reviews
App Store,sg,,8418314076,2022-03-04T07:07:17Z,DE4EwVs90w,1,,0,Vouchers all can’t redeem,Grab voucher can’t find in spam email and point redeem can’t apply at Shopee.,,"Hi Parent. Sorry for the trouble you have experienced. Please send an email with your feedback and account details to app.feedback@theasianparent.com, so that we can help to resolve the issue without delay. Thank you! 😊 Do encourage us further with a 5-star rating!",https://apps.apple.com/sg/app/id1042523855?see-all=reviews
App Store,sg,,5227163852,2019-12-03T04:15:49Z,Engwx,1,,0,Unable to deactivate account and No response after feedback sent to enquire deactivating of account,Unable to deactivate account and No response after feedback sent to enquire deactivating of account,,"Hi, Parent! We're sorry for your inconvenience. Can you share your registered email to app.feedback@theasianparent.com? We'll be directly taking actions from there. Thank you! (Please encourage us by giving 5 stars) 😀",https://apps.apple.com/sg/app/id1042523855?see-all=reviews
