dry fruits	
fox nuts	
lotus seeds	
moong sprouts	
raw vegetables	
red meat	
mercury fish	
soya chunks	
kidney beans	
refined flour	
white flour	
golden milk	
raw fish	
undercooked meat	
rare meat	
cold cuts	
stale food	
fresh juice	
tetra pack juice	
packaged juice	
nimbu pani	
ganne ka ras	
red bull	
energy drink	
tulsi tea	
diet coke	
zero soda	
aam panna	
almond milk	
badam milk	
glucose water	
vitamin c	
prenatal vitamin	
fish oil	
omega 3	
vomiting tablet	
morning sickness tablet	
cough syrup	
throat lozenge	
zandu balm	
herbal medicine	
sleeping pills	
blood pressure medicine	
bp tablet	
flu shot	
covid vaccine	
roller coaster	
clean up	
hair spa	
chemical peel	
dermal filler	
anti aging cream	
hair oil	
gel nails	
passive smoking	
secondhand smoke	
e cigarette	
hot water	
air conditioner	
cleaning chemicals	
public transport	
high heels	
tight clothes	
body massage	
prenatal massage	
